        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.15333           0.83017       1.79000E+15       1.53080E+15       3.32079E+15       2.10678E+18       1.80171E+18       3.90848E+18
           1.83747          -0.84952       1.82299E+14       2.63539E+14       4.45838E+14       5.12614E+17       7.41055E+17       1.25367E+18
           1.73390          -1.15054       8.31484E+15       1.71625E+15       1.00311E+16       6.80464E+17       1.40453E+17       8.20917E+17
           1.69657          -1.17720       7.02368E+15       1.46276E+15       8.48643E+15       1.80016E+18       3.74903E+17       2.17507E+18
           1.74865          -0.89425       2.16583E+13       7.58507E+13       9.75091E+13       6.33507E+16       2.21863E+17       2.85214E+17
           1.64193          -0.79096       1.31503E+09       1.42889E+13       1.42903E+13       2.66756E+12       2.89853E+16       2.89880E+16
           1.59978          -0.83173       7.40124E+09       1.78469E+13       1.78543E+13       1.58777E+13       3.82866E+16       3.83025E+16
           1.65240          -0.72810       2.23727E+07       7.12040E+12       7.12042E+12       3.66040E+10       1.16497E+16       1.16497E+16
           1.61305          -0.76241       9.32883E+07       8.69066E+12       8.69076E+12       1.60066E+11       1.49116E+16       1.49118E+16
           1.75841          -0.72137       4.48856E+09       1.77133E+13       1.77178E+13       8.60028E+12       3.39395E+16       3.39481E+16
           2.14704           0.30353       4.01787E+13       8.99020E+13       1.30081E+14       2.28059E+16       5.10294E+16       7.38353E+16
           1.75467          -0.79287       2.47712E+11       3.14038E+13       3.16515E+13       5.90351E+14       7.48420E+16       7.54324E+16
           2.22017           0.08740       1.15811E+14       9.36974E+13       2.09508E+14       1.03887E+17       8.40502E+16       1.87937E+17
           1.72272          -0.70732       4.13929E+08       1.12128E+13       1.12132E+13       7.11629E+11       1.92771E+16       1.92778E+16
           1.88005          -0.68135       6.54167E+11       4.03401E+13       4.09943E+13       1.37542E+15       8.48171E+16       8.61925E+16
           1.87495          -0.62269       1.73298E+10       2.48805E+13       2.48978E+13       3.00994E+13       4.32139E+16       4.32440E+16
           1.76100          -0.66498       1.04241E+08       9.81814E+12       9.81825E+12       1.67306E+11       1.57581E+16       1.57582E+16
           1.86893          -0.57564       4.83993E+08       1.46395E+13       1.46400E+13       7.36467E+11       2.22762E+16       2.22769E+16
           1.83444          -0.62393       1.98020E+09       1.63892E+13       1.63911E+13       3.26491E+12       2.70221E+16       2.70254E+16
           1.95180          -0.55836       2.89271E+11       4.17542E+13       4.20435E+13       4.94850E+14       7.14281E+16       7.19229E+16
           1.96391           0.58948       2.91025E+13       7.84591E+13       1.07562E+14       1.64120E+16       4.42461E+16       6.06582E+16
           1.88311          -0.76369       2.91859E+13       7.51138E+13       1.04300E+14       7.29159E+16       1.87659E+17       2.60575E+17
           1.71697          -0.77070       2.13115E+10       2.04364E+13       2.04577E+13       4.51628E+13       4.33083E+16       4.33535E+16
           1.71000          -0.85420       1.64444E+12       4.04130E+13       4.20574E+13       4.34292E+15       1.06729E+17       1.11072E+17
           2.24369           0.51984       4.70321E+15       1.61693E+15       6.32014E+15       5.93391E+17       2.04004E+17       7.97395E+17
           1.90289          -1.03015       2.43535E+15       1.03813E+15       3.47348E+15       9.10696E+17       3.88206E+17       1.29890E+18
           1.54976          -0.76231       5.30733E+06       6.04553E+12       6.04554E+12       8.54642E+09       9.73516E+15       9.73516E+15
           2.00867          -0.60680       6.23892E+13       1.05436E+14       1.67825E+14       1.31055E+17       2.21479E+17       3.52535E+17
           1.83721          -0.67779       7.36751E+10       2.72761E+13       2.73498E+13       1.43667E+14       5.31889E+16       5.33325E+16
           1.96818          -0.46417       2.08959E+09       2.21579E+13       2.21599E+13       2.98268E+12       3.16282E+16       3.16311E+16
           1.94032          -0.51617       9.27407E+09       2.56307E+13       2.56400E+13       1.41946E+13       3.92296E+16       3.92438E+16
           2.05107          -0.41882       1.05963E+12       6.32990E+13       6.43586E+13       1.58713E+15       9.48099E+16       9.63970E+16
           2.18012          -0.20312       4.08236E+13       1.12327E+14       1.53151E+14       2.73890E+16       7.53616E+16       1.02751E+17
           1.97034          -0.69238       2.46080E+14       3.44314E+14       5.90394E+14       5.74790E+17       8.04244E+17       1.37903E+18
           1.83895          -0.74709       3.17912E+12       4.59742E+13       4.91534E+13       7.34897E+15       1.06276E+17       1.13625E+17
           2.08639          -0.51314       5.72395E+14       6.63545E+14       1.23594E+15       9.96421E+17       1.15509E+18       2.15151E+18
           1.98268          -0.50014       6.79059E+10       3.74986E+13       3.75665E+13       1.05489E+14       5.82527E+16       5.83582E+16
           1.99655          -0.54448       2.04275E+12       6.11096E+13       6.31524E+13       3.64752E+15       1.09117E+17       1.12764E+17
           2.15714          -0.73239       2.50650E+15       1.22807E+15       3.73457E+15       6.16040E+17       3.01831E+17       9.17871E+17
           2.11378          -0.43090       1.24074E+14       1.48308E+14       2.72382E+14       1.93832E+17       2.31691E+17       4.25523E+17
           2.16539          -0.54306       3.09031E+15       1.66180E+15       4.75211E+15       8.50416E+18       4.57309E+18       1.30773E+19
           2.28758          -0.38063       9.77661E+15       3.02126E+15       1.27979E+16       1.91808E+18       5.92742E+17       2.51082E+18
           2.07007          -0.45667       2.50207E+13       1.11404E+14       1.36424E+14       4.14346E+16       1.84486E+17       2.25920E+17
           2.36100          -0.41187       7.12728E+16       2.09641E+15       7.33692E+16       1.06686E+18       3.13805E+16       1.09824E+18
