        R                 Z              n_n_slow        n_n_thermal        n_n_total       izn_rate_slow    izn_rate_thermal   izn_rate_total  
           1.24083          -0.07862       6.69327E+07       4.99628E+13       4.99628E+13       1.18482E+10       8.84427E+15       8.84428E+15
           1.26489          -0.06593       1.08528E+06       3.21143E+13       3.21144E+13       1.81339E+08       5.36597E+15       5.36597E+15
           1.24423           0.08314       5.88087E+07       4.95044E+13       4.95045E+13       1.04056E+10       8.75929E+15       8.75930E+15
           1.28468          -0.17387       1.36193E+05       2.25794E+13       2.25794E+13       4.67864E+07       7.75669E+15       7.75669E+15
           1.20243          -0.08335       1.76558E+10       9.87296E+13       9.87472E+13       3.18617E+12       1.78168E+16       1.78200E+16
           1.23429          -0.18427       2.35277E+08       5.35094E+13       5.35096E+13       8.97202E+10       2.04052E+16       2.04053E+16
           1.20451           0.06042       1.87658E+10       1.07263E+14       1.07282E+14       3.38462E+12       1.93461E+16       1.93494E+16
           1.30968          -0.21705       4.08330E+03       1.60382E+13       1.60382E+13       1.36492E+06       5.36108E+15       5.36108E+15
           1.04573          -0.10873       5.87328E+15       1.12888E+15       7.00216E+15       2.70879E+13       5.20644E+12       3.22943E+13
           1.34583          -0.33615       1.52323E+02       9.60535E+12       9.60535E+12       4.89801E+04       3.08864E+15       3.08864E+15
           1.35760          -0.32520       2.10672E+01       7.77526E+12       7.77526E+12       6.74009E+03       2.48757E+15       2.48757E+15
           1.35078          -0.27718       1.28227E+01       8.51510E+12       8.51510E+12       3.88728E+03       2.58140E+15       2.58140E+15
           1.32170          -0.24562       5.84788E+02       1.32079E+13       1.32079E+13       1.83396E+05       4.14212E+15       4.14212E+15
           1.30298          -0.16633       6.76694E+03       1.69074E+13       1.69074E+13       2.23319E+06       5.57969E+15       5.57969E+15
           1.33974          -0.23365       2.58178E+01       9.76973E+12       9.76973E+12       7.67121E+03       2.90287E+15       2.90287E+15
           1.36496          -0.24945       6.62831E-01       6.79189E+12       6.79189E+12       3.77635E+02       3.86954E+15       3.86954E+15
           1.38078          -0.30218       1.99491E-01       5.51131E+12       5.51131E+12       5.69898E+01       1.57445E+15       1.57445E+15
           1.31946          -0.26534       2.06412E+03       1.41363E+13       1.41363E+13       6.93664E+05       4.75060E+15       4.75060E+15
           1.38975          -0.26208       2.57908E-02       4.94560E+12       4.94560E+12       6.97248E+00       1.33703E+15       1.33703E+15
           1.32822          -0.35365       3.69437E+03       1.30600E+13       1.30600E+13       1.24541E+06       4.40265E+15       4.40265E+15
           1.32785          -0.20682       1.88844E+02       1.19452E+13       1.19452E+13       6.01306E+04       3.80351E+15       3.80351E+15
           1.39245          -0.29162       2.34238E-02       4.67050E+12       4.67050E+12       6.60919E+00       1.31781E+15       1.31781E+15
           1.43459          -0.31202       1.27137E-04       2.81916E+12       2.81916E+12       3.27080E-02       7.25273E+14       7.25273E+14
           1.44176          -0.27325       6.07263E-06       2.49436E+12       2.49436E+12       2.83213E-03       1.16331E+15       1.16331E+15
           1.45154          -0.33925       2.03730E-05       2.39146E+12       2.39146E+12       1.03692E-02       1.21718E+15       1.21718E+15
           1.46732          -0.31852       1.13341E-06       1.88935E+12       1.88935E+12       5.33374E-04       8.89113E+14       8.89113E+14
           1.41534          -0.26937       4.03331E-04       3.46189E+12       3.46189E+12       9.97191E-02       8.55912E+14       8.55912E+14
           1.40044          -0.22305       1.02732E-03       4.15615E+12       4.15615E+12       5.06481E-01       2.04903E+15       2.04903E+15
           1.42689          -0.25914       3.93431E-05       2.90333E+12       2.90333E+12       9.59623E-03       7.08156E+14       7.08156E+14
           1.43878          -0.20754       1.30969E-06       2.42333E+12       2.42333E+12       2.74561E-04       5.08023E+14       5.08023E+14
           1.45386          -0.24645       3.66660E-07       2.05194E+12       2.05194E+12       1.54367E-04       8.63882E+14       8.63882E+14
           1.47058          -0.23020       1.18469E-08       1.60714E+12       1.60714E+12       4.60549E-06       6.24778E+14       6.24778E+14
           1.42468          -0.23281       3.62310E-05       3.01879E+12       3.01879E+12       8.39966E-03       6.99865E+14       6.99865E+14
           1.45725          -0.27066       8.68151E-07       2.08631E+12       2.08631E+12       4.04868E-04       9.72965E+14       9.72965E+14
           1.35181          -0.22633       4.04423E+00       8.00593E+12       8.00593E+12       1.19673E+03       2.36903E+15       2.36903E+15
           1.40805          -0.30842       4.22970E-03       4.00344E+12       4.00344E+12       2.29977E+00       2.17675E+15       2.17675E+15
           1.45317          -0.18482       4.37545E-08       1.92540E+12       1.92540E+12       1.69288E-05       7.44944E+14       7.44944E+14
           1.32127          -0.15888       3.16688E+02       1.27504E+13       1.27504E+13       9.95990E+04       4.01002E+15       4.01002E+15
           1.34600          -0.19674       8.32084E+00       8.92261E+12       8.92261E+12       2.49998E+03       2.68079E+15       2.68079E+15
           1.36411          -0.18679       3.46551E-01       6.79660E+12       6.79660E+12       9.75454E+01       1.91307E+15       1.91307E+15
           1.37570          -0.21023       3.77635E-02       5.64479E+12       5.64479E+12       9.84411E+00       1.47147E+15       1.47147E+15
           1.38772          -0.20311       5.35382E-03       4.67803E+12       4.67803E+12       1.38308E+00       1.20850E+15       1.20850E+15
           1.38220          -0.17698       1.39839E-02       5.15385E+12       5.15385E+12       3.66506E+00       1.35078E+15       1.35078E+15
           1.31617          -0.11038       3.88781E+02       1.32415E+13       1.32415E+13       1.21577E+05       4.14080E+15       4.14080E+15
           1.33955          -0.15153       1.41301E+01       9.67514E+12       9.67514E+12       4.19461E+03       2.87212E+15       2.87212E+15
           1.35294          -0.10121       8.51195E-01       7.79744E+12       7.79744E+12       2.35878E+02       2.16078E+15       2.16078E+15
           1.35782          -0.14427       6.03598E-01       7.35750E+12       7.35750E+12       1.67952E+02       2.04724E+15       2.04724E+15
           1.37608          -0.13709       2.48870E-02       5.62026E+12       5.62026E+12       6.44995E+00       1.45660E+15       1.45660E+15
           1.33998          -0.08893       4.76314E+00       9.20311E+12       9.20311E+12       1.31961E+03       2.54969E+15       2.54969E+15
           1.40026          -0.16729       5.36813E-04       3.98289E+12       3.98289E+12       1.30565E-01       9.68729E+14       9.68729E+14
           1.30318          -0.09633       2.02538E+03       1.55888E+13       1.55888E+13       6.28272E+05       4.83563E+15       4.83563E+15
           1.41828          -0.15773       1.97537E-05       3.01207E+12       3.01207E+12       4.43776E-03       6.76678E+14       6.76678E+14
           1.42931          -0.17629       2.24335E-06       2.59301E+12       2.59301E+12       4.62714E-04       5.34836E+14       5.34836E+14
           1.45421          -0.13897       3.86773E-08       1.87388E+12       1.87388E+12       7.42976E-06       3.59965E+14       3.59965E+14
           1.41149          -0.18746       5.69817E-05       3.44045E+12       3.44045E+12       1.27689E-02       7.70961E+14       7.70961E+14
           1.44124          -0.16945       2.63308E-07       2.19257E+12       2.19257E+12       5.39450E-05       4.49203E+14       4.49203E+14
           1.44230          -0.14572       2.27029E-07       2.17036E+12       2.17036E+12       4.36741E-05       4.17519E+14       4.17519E+14
           1.38971          -0.09223       1.55058E-03       4.57784E+12       4.57784E+12       3.71768E-01       1.09759E+15       1.09759E+15
           1.41067          -0.11200       3.92277E-05       3.27388E+12       3.27388E+12       8.63212E-03       7.20424E+14       7.20424E+14
           1.43261          -0.08260       6.10634E-07       2.55890E+12       2.55890E+12       1.15630E-04       4.84557E+14       4.84557E+14
