 from   to   via     T_slow    T_thermal     mfp_s       mfp_t    
    49    49    37   0.000E+00   0.000E+00   1.413E-01   1.413E-01
    49    43    37   3.262E-01   3.262E-01   1.413E-01   1.413E-01
    43    41    37   5.595E-01   5.595E-01   1.413E-01   1.413E-01
    43    49    37   3.473E-01   3.473E-01   1.413E-01   1.413E-01
    43    43    37   0.000E+00   0.000E+00   1.413E-01   1.413E-01
  1986  1986    38   0.000E+00   0.000E+00   1.957E+01   1.957E+01
  1986  1987    38   6.743E-01   6.743E-01   1.957E+01   1.957E+01
  1986    46    38   3.240E-01   3.240E-01   1.957E+01   1.957E+01
  1987  1986    38   7.973E-01   7.973E-01   1.957E+01   1.957E+01
  1987  1987    38   0.000E+00   0.000E+00   1.957E+01   1.957E+01
  1987    46    38   2.009E-01   2.009E-01   1.957E+01   1.957E+01
    46  1986    38   6.547E-01   6.547E-01   1.957E+01   1.957E+01
    46  1987    38   3.432E-01   3.432E-01   1.957E+01   1.957E+01
    46    46    38   0.000E+00   0.000E+00   1.957E+01   1.957E+01
    30    30    39   0.000E+00   0.000E+00   5.081E-01   5.081E-01
    30    44    39   2.187E-01   2.187E-01   5.081E-01   5.081E-01
    30    71    39   7.436E-01   7.436E-01   5.081E-01   5.081E-01
    44    30    39   4.148E-01   4.148E-01   5.081E-01   5.081E-01
    44    44    39   0.000E+00   0.000E+00   5.081E-01   5.081E-01
    44    71    39   5.385E-01   5.385E-01   5.081E-01   5.081E-01
    71    30    39   6.968E-01   6.968E-01   5.081E-01   5.081E-01
    71    44    39   2.661E-01   2.661E-01   5.081E-01   5.081E-01
    71    71    39   0.000E+00   0.000E+00   5.081E-01   5.081E-01
    36    36    40   0.000E+00   0.000E+00   5.081E-01   1.316E+00
    36    71    40   3.571E-01   3.679E-01   5.081E-01   1.316E+00
    36    42    40   6.016E-01   6.162E-01   5.081E-01   1.316E+00
    71    36    40   1.485E-01   1.485E-01   5.081E-01   5.081E-01
    71    71    40   0.000E+00   0.000E+00   5.081E-01   5.081E-01
    71    42    40   8.206E-01   8.206E-01   5.081E-01   5.081E-01
    42    36    40   2.266E-01   2.266E-01   5.081E-01   5.081E-01
    42    71    40   7.432E-01   7.432E-01   5.081E-01   5.081E-01
    42    42    40   0.000E+00   0.000E+00   5.081E-01   5.081E-01
  1780  1780    41   0.000E+00   0.000E+00   6.792E-02   2.144E-01
  1780    37    41   2.947E-01   3.584E-01   6.792E-02   2.144E-01
  1780    34    41   4.757E-01   5.677E-01   6.792E-02   2.144E-01
    37  1780    41   5.614E-01   5.614E-01   6.792E-02   6.792E-02
